age,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,marital_married,marital_single,marital_unknown,job_encoded,education_encoded,poutcome_encoded,was_previously_contacted,true_label,predicted
49,0.0,1.0,0.0,0,5,4,312,3,0,1.1,93.994,-36.4,4.855,5191.0,False,False,False,4.0,3,1,0,0,1
46,0.0,1.0,0.0,0,5,4,56,2,0,1.1,93.994,-36.4,4.86,5191.0,False,False,False,4.0,3,1,0,0,1
35,0.0,1.0,1.0,0,5,5,14,2,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,7.0,5,1,0,0,1
46,0.0,0.0,1.0,1,7,2,1220,12,0,1.4,93.918,-42.7,4.961,5228.1,True,False,False,5.0,6,1,0,0,1
29,0.0,0.0,0.0,0,5,5,332,1,0,1.1,93.994,-36.4,4.857,5191.0,False,True,False,4.0,6,1,0,0,1
58,0.0,0.0,0.0,0,5,2,325,3,0,1.1,93.994,-36.4,4.856,5191.0,True,False,False,8.0,1,1,0,0,1
47,0.0,1.0,0.0,1,11,3,117,1,0,-0.1,93.2,-42.0,4.12,5195.8,True,False,False,8.0,1,1,0,0,1
29,0.0,1.0,1.0,1,5,2,380,1,0,-1.8,92.893,-46.2,1.291,5099.1,True,False,False,4.0,4,1,0,0,1
24,0.0,0.0,1.0,1,7,3,109,3,0,1.4,93.918,-42.7,4.963,5228.1,False,True,False,7.0,6,1,0,0,1
26,0.0,0.0,0.0,1,3,4,359,1,1,-1.8,93.369,-34.8,0.643,5008.7,True,False,False,4.0,-1,0,0,0,1
28,0.0,1.0,0.0,1,7,3,321,1,0,1.4,93.918,-42.7,4.962,5228.1,True,False,False,7.0,6,1,0,0,1
26,0.0,0.0,0.0,0,5,4,260,1,0,1.1,93.994,-36.4,4.86,5191.0,True,False,False,7.0,5,1,0,0,1
34,0.0,1.0,0.0,1,8,3,276,3,0,1.4,93.444,-36.1,4.967,5228.1,True,False,False,4.0,5,1,0,0,1
39,0.0,1.0,0.0,1,8,5,207,4,0,1.4,93.444,-36.1,4.963,5228.1,True,False,False,7.0,6,1,0,0,1
37,0.0,0.0,0.0,1,8,4,105,1,0,1.4,93.444,-36.1,4.962,5228.1,False,True,False,4.0,6,1,0,0,1
33,0.0,0.0,0.0,0,5,4,402,1,0,1.1,93.994,-36.4,4.86,5191.0,True,False,False,4.0,1,1,0,0,1
32,0.0,1.0,0.0,1,11,4,75,2,0,-0.1,93.2,-42.0,4.076,5195.8,False,True,False,3.0,3,1,0,0,1
38,0.0,0.0,0.0,0,6,3,333,1,0,1.4,94.465,-41.8,4.958,5228.1,True,False,False,3.0,3,1,0,0,1
46,0.0,0.0,0.0,1,8,2,123,2,0,1.4,93.444,-36.1,4.968,5228.1,True,False,False,4.0,6,1,0,0,1
39,0.0,0.0,0.0,1,5,2,132,1,0,-1.8,92.893,-46.2,1.344,5099.1,True,False,False,3.0,2,1,0,0,1
27,0.0,0.0,0.0,1,5,5,86,1,1,-1.8,92.893,-46.2,1.259,5099.1,False,True,False,4.0,6,2,1,0,1
32,0.0,1.0,1.0,0,6,1,156,1,0,1.4,94.465,-41.8,4.865,5228.1,False,True,False,3.0,1,1,0,0,1
50,0.0,1.0,0.0,1,4,1,562,2,0,-1.8,93.075,-47.1,1.405,5099.1,True,False,False,4.0,4,1,0,0,1
27,0.0,1.0,0.0,1,8,4,250,3,5,-1.7,94.027,-38.3,0.904,4991.6,False,True,False,7.0,6,0,0,0,1
44,0.0,1.0,0.0,0,5,3,166,1,0,1.1,93.994,-36.4,4.857,5191.0,False,False,False,3.0,3,1,0,0,1
64,0.0,0.0,0.0,0,8,1,133,1,0,-2.9,92.201,-31.4,0.884,5076.2,True,False,False,9.0,6,1,0,0,1
58,0.0,1.0,0.0,1,8,5,286,1,0,1.4,93.444,-36.1,4.964,5228.1,True,False,False,3.0,-1,1,0,0,1
71,0.0,1.0,1.0,0,4,1,89,12,0,-1.8,93.075,-47.1,1.392,5099.1,True,False,False,9.0,6,1,0,0,1
31,0.0,1.0,0.0,0,6,1,208,1,0,1.4,94.465,-41.8,4.96,5228.1,True,False,False,3.0,3,1,0,0,1
37,0.0,1.0,0.0,1,4,1,247,1,1,-1.8,93.075,-47.1,1.466,5099.1,False,False,False,7.0,3,0,0,0,1
39,0.0,0.0,0.0,1,5,3,95,1,1,-1.8,92.893,-46.2,1.334,5099.1,False,False,False,3.0,3,0,0,0,1
34,0.0,0.0,0.0,1,5,2,278,2,0,-1.8,92.893,-46.2,1.291,5099.1,True,False,False,7.0,5,1,0,0,1
30,0.0,1.0,0.0,1,5,4,63,3,0,-1.8,92.893,-46.2,1.327,5099.1,False,True,False,7.0,6,1,0,0,1
39,0.0,1.0,0.0,0,6,3,281,4,0,1.4,94.465,-41.8,4.959,5228.1,True,False,False,1.0,5,1,0,0,1
25,0.0,1.0,0.0,1,7,2,214,1,0,1.4,93.918,-42.7,4.961,5228.1,False,True,False,3.0,4,1,0,0,1
40,0.0,1.0,0.0,1,4,4,194,2,0,-1.8,93.075,-47.1,1.41,5099.1,False,False,False,4.0,6,1,0,0,1
30,0.0,1.0,0.0,1,9,2,191,1,0,-3.4,92.379,-29.8,0.788,5017.5,False,True,False,5.0,6,1,0,0,1
44,0.0,1.0,0.0,1,7,1,102,6,0,1.4,93.918,-42.7,4.962,5228.1,True,False,False,8.0,4,1,0,0,1
29,0.0,0.0,0.0,0,7,3,38,1,0,1.4,93.918,-42.7,4.963,5228.1,False,True,False,4.0,4,1,0,0,1
33,0.0,0.0,0.0,1,8,2,398,2,0,1.4,93.444,-36.1,4.966,5228.1,True,False,False,7.0,4,1,0,0,1
29,0.0,1.0,0.0,0,11,3,103,1,0,-0.1,93.2,-42.0,4.12,5195.8,False,True,False,8.0,6,1,0,0,1
54,0.0,0.0,0.0,0,5,1,611,2,0,1.1,93.994,-36.4,4.857,5191.0,False,False,False,8.0,6,1,0,0,1
51,0.0,1.0,0.0,1,11,1,89,1,0,-0.1,93.2,-42.0,4.191,5195.8,True,False,False,4.0,4,1,0,0,1
24,0.0,1.0,0.0,1,7,3,57,2,0,1.4,93.918,-42.7,4.957,5228.1,False,False,False,3.0,4,1,0,0,1
56,0.0,1.0,0.0,0,5,1,102,2,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,9.0,1,1,0,0,1
30,0.0,0.0,0.0,0,5,5,142,3,1,-1.8,92.893,-46.2,1.313,5099.1,True,False,False,3.0,1,0,0,0,1
60,0.0,0.0,0.0,0,5,3,150,1,0,1.1,93.994,-36.4,4.859,5191.0,True,False,False,3.0,3,1,0,0,1
58,0.0,0.0,0.0,0,5,1,268,3,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,9.0,2,1,0,0,1
40,0.0,0.0,0.0,0,7,1,1025,1,0,1.4,93.918,-42.7,4.962,5228.1,True,False,False,5.0,-1,1,0,0,1
51,0.0,0.0,0.0,0,5,5,277,3,0,1.1,93.994,-36.4,4.855,5191.0,True,False,False,6.0,1,1,0,0,1
46,0.0,0.0,1.0,0,5,3,103,6,0,1.1,93.994,-36.4,4.859,5191.0,True,False,False,8.0,6,1,0,0,1
31,0.0,0.0,0.0,1,11,3,145,1,0,-0.1,93.2,-42.0,4.12,5195.8,False,True,False,3.0,4,1,0,0,1
53,0.0,0.0,1.0,1,7,1,136,2,0,1.4,93.918,-42.7,4.962,5228.1,True,False,False,3.0,4,1,0,0,1
37,0.0,1.0,0.0,1,4,4,226,1,1,-1.8,93.075,-47.1,1.365,5099.1,True,False,False,4.0,4,2,1,0,1
41,0.0,0.0,0.0,0,5,4,74,2,0,1.1,93.994,-36.4,4.86,5191.0,True,False,False,3.0,2,1,0,0,1
35,0.0,1.0,0.0,1,8,2,67,1,0,1.4,93.444,-36.1,4.965,5228.1,False,True,False,7.0,5,1,0,0,1
26,0.0,1.0,0.0,1,7,4,530,3,0,1.4,93.918,-42.7,4.968,5228.1,True,False,False,3.0,1,1,0,0,1
42,0.0,0.0,0.0,0,5,4,172,4,0,1.1,93.994,-36.4,4.855,5191.0,False,True,False,4.0,6,1,0,0,1
31,0.0,0.0,0.0,1,7,3,99,2,0,1.4,93.918,-42.7,4.963,5228.1,True,False,False,3.0,1,1,0,0,1
22,0.0,1.0,0.0,1,5,4,47,3,0,-1.8,92.893,-46.2,1.266,5099.1,False,True,False,0.0,4,1,0,0,1
27,0.0,1.0,0.0,0,5,2,206,2,0,1.1,93.994,-36.4,4.857,5191.0,False,False,False,4.0,4,1,0,0,1
24,0.0,1.0,0.0,0,5,1,165,2,0,1.1,93.994,-36.4,4.857,5191.0,False,True,False,8.0,6,1,0,0,1
42,0.0,1.0,0.0,1,7,5,126,3,0,1.4,93.918,-42.7,4.962,5228.1,True,False,False,5.0,1,1,0,0,1
56,0.0,1.0,1.0,1,11,5,119,1,1,-0.1,93.2,-42.0,4.021,5195.8,True,False,False,4.0,1,0,0,0,1
32,0.0,1.0,1.0,1,8,3,72,2,0,1.4,93.444,-36.1,4.964,5228.1,False,True,False,4.0,6,1,0,0,1
28,0.0,0.0,1.0,1,7,5,63,12,0,1.4,93.918,-42.7,4.962,5228.1,False,True,False,4.0,4,1,0,0,1
41,0.0,0.0,1.0,0,5,1,111,1,0,1.1,93.994,-36.4,4.857,5191.0,False,True,False,4.0,4,1,0,0,1
47,0.0,0.0,0.0,0,5,3,159,2,0,1.1,93.994,-36.4,4.858,5191.0,False,False,False,3.0,3,1,0,0,1
30,0.0,1.0,0.0,1,5,4,464,2,0,-1.8,92.893,-46.2,1.266,5099.1,False,True,False,4.0,4,1,0,0,1
55,0.0,0.0,0.0,1,7,2,232,4,0,1.4,93.918,-42.7,4.961,5228.1,True,False,False,3.0,2,1,0,0,1
75,0.0,1.0,1.0,1,7,5,67,2,0,-2.9,92.469,-33.6,1.059,5076.2,True,False,False,9.0,1,1,0,0,1
40,0.0,1.0,0.0,1,11,3,118,1,0,-0.1,93.2,-42.0,4.12,5195.8,True,False,False,7.0,4,1,0,0,1
40,0.0,0.0,0.0,1,8,3,53,3,0,1.4,93.444,-36.1,4.964,5228.1,True,False,False,4.0,6,1,0,0,1
50,0.0,1.0,0.0,0,5,2,206,1,0,1.1,93.994,-36.4,4.856,5191.0,True,False,False,3.0,1,1,0,0,1
39,0.0,0.0,1.0,1,7,4,122,1,0,1.4,93.918,-42.7,4.963,5228.1,True,False,False,3.0,2,1,0,0,1
37,0.0,0.0,1.0,0,5,5,34,2,0,1.1,93.994,-36.4,4.864,5191.0,False,False,True,3.0,2,1,0,0,1
33,0.0,0.0,0.0,0,5,2,190,1,0,1.1,93.994,-36.4,4.856,5191.0,False,False,False,4.0,4,1,0,0,1
38,0.0,1.0,0.0,0,6,5,48,1,0,1.4,94.465,-41.8,4.959,5228.1,True,False,False,4.0,3,1,0,0,1
41,0.0,0.0,0.0,0,7,2,275,2,0,1.4,93.918,-42.7,4.961,5228.1,True,False,False,6.0,2,1,0,0,1
39,0.0,1.0,0.0,1,5,5,128,2,1,-1.8,92.893,-46.2,1.25,5099.1,False,False,False,7.0,5,0,0,0,1
34,0.0,1.0,0.0,0,5,5,252,4,0,1.1,93.994,-36.4,4.855,5191.0,True,False,False,5.0,5,1,0,0,1
33,0.0,0.0,0.0,0,5,4,166,3,0,1.1,93.994,-36.4,4.855,5191.0,True,False,False,8.0,6,1,0,0,1
41,0.0,1.0,0.0,0,5,3,92,1,0,1.1,93.994,-36.4,4.856,5191.0,False,True,False,4.0,2,1,0,0,1
30,0.0,1.0,0.0,1,7,2,255,2,1,-1.7,94.215,-40.3,0.797,4991.6,False,True,False,4.0,6,2,1,0,1
31,0.0,1.0,0.0,0,5,5,186,5,0,1.1,93.994,-36.4,4.859,5191.0,True,False,False,4.0,3,1,0,0,1
39,0.0,1.0,0.0,1,8,5,192,2,0,1.4,93.444,-36.1,4.964,5228.1,True,False,False,2.0,5,1,0,0,1
36,0.0,1.0,0.0,0,5,3,231,2,0,1.1,93.994,-36.4,4.856,5191.0,True,False,False,3.0,3,1,0,0,1
44,0.0,1.0,0.0,0,6,2,57,2,0,1.4,94.465,-41.8,4.961,5228.1,True,False,False,7.0,5,1,0,0,1
51,0.0,0.0,0.0,1,7,5,46,1,0,1.4,93.918,-42.7,4.962,5228.1,True,False,False,3.0,1,1,0,0,1
38,0.0,0.0,0.0,0,6,1,182,3,0,1.4,94.465,-41.8,4.96,5228.1,True,False,False,3.0,5,1,0,0,1
49,0.0,1.0,0.0,1,6,2,298,3,0,-2.9,92.963,-40.8,1.252,5076.2,True,False,False,1.0,5,1,0,0,1
43,0.0,1.0,0.0,1,9,4,531,1,0,-3.4,92.379,-29.8,0.809,5017.5,True,False,False,7.0,4,1,0,0,1
58,0.0,1.0,0.0,1,11,2,173,1,2,-1.1,94.767,-50.8,1.046,4963.6,True,False,False,4.0,4,0,0,0,1
46,0.0,0.0,0.0,0,6,1,230,3,0,1.4,94.465,-41.8,4.865,5228.1,True,False,False,4.0,6,1,0,0,1
43,0.0,0.0,0.0,1,11,5,61,2,0,-0.1,93.2,-42.0,4.021,5195.8,False,True,False,7.0,4,1,0,0,1
54,0.0,1.0,0.0,1,8,5,343,4,0,1.4,93.444,-36.1,4.964,5228.1,False,False,False,7.0,5,1,0,0,1
31,0.0,0.0,0.0,1,11,4,250,1,1,-0.1,93.2,-42.0,4.076,5195.8,False,True,False,1.0,5,0,0,0,1
41,0.0,1.0,0.0,0,5,2,214,1,0,1.1,93.994,-36.4,4.856,5191.0,False,True,False,4.0,4,1,0,0,1
43,0.0,0.0,0.0,1,7,3,332,3,0,1.4,93.918,-42.7,4.957,5228.1,True,False,False,7.0,4,1,0,0,1
61,0.0,0.0,0.0,1,11,1,507,1,0,-1.1,94.767,-50.8,1.05,4963.6,True,False,False,9.0,6,1,0,0,1
48,0.0,0.0,0.0,1,7,3,127,2,0,1.4,93.918,-42.7,4.963,5228.1,False,False,False,7.0,5,1,0,0,1
43,0.0,0.0,1.0,1,4,4,35,1,0,-1.8,93.075,-47.1,1.41,5099.1,True,False,False,8.0,-1,1,0,0,1
59,0.0,0.0,0.0,1,5,1,233,2,0,-1.8,92.893,-46.2,1.354,5099.1,True,False,False,9.0,2,1,0,0,1
50,0.0,1.0,0.0,0,5,3,281,2,0,1.1,93.994,-36.4,4.856,5191.0,True,False,False,8.0,6,1,0,0,1
39,0.0,1.0,0.0,1,5,3,1079,3,0,-1.8,92.893,-46.2,1.334,5099.1,False,True,False,3.0,1,1,0,0,1
34,0.0,0.0,0.0,1,4,2,231,1,0,-1.8,93.075,-47.1,1.453,5099.1,False,True,False,4.0,4,1,0,0,1
38,0.0,0.0,0.0,1,7,4,169,5,0,1.4,93.918,-42.7,4.968,5228.1,True,False,False,4.0,2,1,0,0,1
22,0.0,0.0,0.0,0,6,3,561,1,0,1.4,94.465,-41.8,4.959,5228.1,True,False,False,7.0,3,1,0,0,1
27,0.0,1.0,0.0,1,5,3,319,2,0,-1.8,92.893,-46.2,1.334,5099.1,True,False,False,4.0,4,1,0,0,1
44,0.0,1.0,0.0,1,6,2,71,3,0,-2.9,92.963,-40.8,1.262,5076.2,True,False,False,8.0,6,1,0,0,1
29,0.0,0.0,0.0,0,6,3,26,1,0,1.4,94.465,-41.8,4.962,5228.1,True,False,False,5.0,5,1,0,0,1
42,0.0,0.0,0.0,1,11,2,364,2,0,-0.1,93.2,-42.0,4.153,5195.8,True,False,False,3.0,2,1,0,0,1
52,0.0,1.0,0.0,0,5,2,319,1,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,3.0,3,1,0,0,1
43,0.0,1.0,0.0,0,6,3,109,1,0,1.4,94.465,-41.8,4.959,5228.1,True,False,False,3.0,1,1,0,0,1
36,0.0,0.0,0.0,1,7,4,165,1,0,1.4,93.918,-42.7,4.963,5228.1,False,True,False,4.0,4,1,0,0,1
50,0.0,1.0,0.0,0,6,5,306,2,0,1.4,94.465,-41.8,4.967,5228.1,True,False,False,5.0,6,1,0,0,1
54,0.0,0.0,0.0,1,11,2,432,2,0,-0.1,93.2,-42.0,4.153,5195.8,True,False,False,7.0,6,1,0,0,1
54,0.0,0.0,0.0,0,5,4,144,1,0,1.1,93.994,-36.4,4.86,5191.0,False,True,False,4.0,4,1,0,0,1
37,0.0,0.0,0.0,1,8,4,120,1,0,1.4,93.444,-36.1,4.963,5228.1,False,True,False,7.0,5,1,0,0,1
57,0.0,0.0,0.0,0,6,1,716,4,0,1.4,94.465,-41.8,4.865,5228.1,False,False,False,3.0,1,1,0,0,1
29,0.0,0.0,0.0,1,8,2,103,4,0,1.4,93.444,-36.1,4.963,5228.1,False,True,False,4.0,6,1,0,0,1
45,0.0,1.0,0.0,1,7,4,1673,2,0,1.4,93.918,-42.7,4.958,5228.1,False,False,False,4.0,6,1,0,0,1
50,0.0,1.0,0.0,1,5,1,8,11,0,-1.8,92.893,-46.2,1.244,5099.1,False,False,False,4.0,1,1,0,0,1
36,0.0,0.0,0.0,0,5,1,225,2,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,4.0,4,1,0,0,1
54,0.0,1.0,0.0,1,5,2,138,3,0,-1.8,92.893,-46.2,1.291,5099.1,False,False,False,3.0,1,1,0,0,1
44,0.0,1.0,1.0,1,8,4,163,1,0,1.4,93.444,-36.1,4.968,5228.1,True,False,False,4.0,6,1,0,0,1
36,0.0,1.0,0.0,1,4,2,104,3,0,-1.8,93.075,-47.1,1.423,5099.1,True,False,False,4.0,4,1,0,0,1
55,0.0,1.0,0.0,1,7,5,243,2,0,1.4,93.918,-42.7,4.963,5228.1,True,False,False,6.0,5,1,0,0,1
29,0.0,1.0,0.0,1,11,1,155,1,0,-0.1,93.2,-42.0,4.191,5195.8,True,False,False,4.0,4,1,0,0,1
26,0.0,0.0,1.0,0,5,4,546,8,0,1.1,93.994,-36.4,4.86,5191.0,False,True,False,1.0,3,1,0,0,1
53,0.0,0.0,0.0,1,7,5,93,4,0,1.4,93.918,-42.7,4.957,5228.1,True,False,False,3.0,1,1,0,0,1
59,0.0,1.0,0.0,1,8,4,152,2,0,1.4,93.444,-36.1,4.964,5228.1,True,False,False,3.0,3,1,0,0,1
39,0.0,1.0,1.0,1,5,4,113,2,0,-1.8,92.893,-46.2,1.327,5099.1,True,False,False,7.0,5,1,0,0,1
29,0.0,1.0,0.0,0,7,3,206,1,0,1.4,93.918,-42.7,4.962,5228.1,False,True,False,4.0,4,1,0,0,1
60,0.0,1.0,0.0,0,5,5,557,2,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,9.0,1,1,0,0,1
30,0.0,1.0,0.0,0,5,3,83,1,0,1.1,93.994,-36.4,4.858,5191.0,False,True,False,8.0,6,1,0,0,1
58,0.0,0.0,0.0,1,7,3,109,3,0,1.4,93.918,-42.7,4.963,5228.1,True,False,False,8.0,3,1,0,0,1
56,0.0,0.0,0.0,1,7,1,17,19,0,1.4,93.918,-42.7,4.96,5228.1,True,False,False,7.0,6,1,0,0,1
54,0.0,1.0,0.0,0,6,3,39,2,0,1.4,94.465,-41.8,4.864,5228.1,True,False,False,6.0,6,1,0,0,1
35,0.0,1.0,0.0,1,5,3,181,1,0,-1.8,92.893,-46.2,1.334,5099.1,False,True,False,3.0,3,1,0,0,1
60,0.0,1.0,0.0,1,7,4,212,1,0,1.4,93.918,-42.7,4.963,5228.1,True,False,False,8.0,6,1,0,0,1
30,0.0,0.0,0.0,1,5,2,113,1,1,-1.8,93.876,-40.0,0.668,5008.7,False,True,False,4.0,6,2,1,0,1
35,0.0,0.0,0.0,0,5,2,329,1,0,1.1,93.994,-36.4,4.857,5191.0,False,True,False,4.0,1,1,0,0,1
38,0.0,1.0,0.0,1,11,1,1081,1,1,-0.1,93.2,-42.0,4.191,5195.8,False,True,False,4.0,3,0,0,0,1
33,0.0,0.0,0.0,1,11,2,61,3,0,-0.1,93.2,-42.0,4.153,5195.8,False,True,False,7.0,3,1,0,0,1
35,0.0,1.0,0.0,0,11,2,263,2,0,-0.1,93.2,-42.0,4.153,5195.8,False,True,False,4.0,6,1,0,0,1
31,0.0,1.0,1.0,1,11,1,60,1,1,-0.1,93.2,-42.0,4.191,5195.8,True,False,False,5.0,6,0,0,0,1
31,0.0,1.0,1.0,1,7,4,328,1,0,1.4,93.918,-42.7,4.963,5228.1,False,True,False,7.0,6,1,0,0,1
